======================
==> dynacell: Welcome!
======================

SVN revision-nr: 606
Starting time: Wed May 19 11:28:52 2021
Command line was: ./dynacell.64bit input.bs

==========================================
Input file:
 LigLigOverlap  0.4
 ProtLigOverlap  0.6
 RMSDwithHydrogens  no
 dc_modus  broadsampling
 ligandpdbfile  bs/ligand.pdb
 ligandtopologyfile  ligand.top
 ligandtype  small_molecule
 maxNrTries  100000
 maxdistancefromprotein  0.4
 numPoses  2000
 outputfile  bs/bs.log.out
 outputframefile  bs/bs.poses.pdb
 pdbfile  protein.pdb
 randomseed  123456
 rotate_ligand  yes
 rotationMode  randomized
 separateOutFiles  no
 subsetnonbonded  all
 topologyfile  protein.top
 translationDistance  0.4
 translation_mode  randomized
 useChargeGroups  no
 writeWholePose  no
==========================================

====================================================================================================================================================================================================
Starting Random Sampling
 Energies in kJ/mol, RMSD to initial pose in nm, Overlap (OL) without unit, PoseNr 0 is the starting structure, potential contains the solvent-energy-difference Total-(Subset+notSubset)
      PoseNr   torsion        improper       lj             coulomb        pair           solvent        solvSubset     solvNotSubset  potential      RMSD           MaxLigLigOL    AverageProtLigOL
 POSE    561   1.313962e+02   6.427127e+00   8.029055e+03   6.084788e+02  -8.324540e+02   0.000000e+00   0.000000e+00   0.000000e+00   8.147635e+03   6.083258e-01   3.394778e-01   1.281048e-01
 POSE    562   1.255649e+02   6.427127e+00   9.819075e+03   5.943294e+02  -8.318202e+02   0.000000e+00   0.000000e+00   0.000000e+00   9.918308e+03   3.096474e-01   3.394778e-01   2.451720e-01
 POSE    563   1.234992e+02   6.427127e+00   1.326544e+05   4.788802e+02  -8.371084e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.326308e+05   6.997740e-01   3.394778e-01   2.831726e-01
 POSE    564   1.312608e+02   6.427127e+00   5.078027e+04   5.903150e+02  -8.320921e+02   0.000000e+00   0.000000e+00   0.000000e+00   5.088091e+04   6.733105e-01   3.394778e-01   2.439981e-01
 POSE    565   1.244493e+02   6.427127e+00   2.722120e+04   6.216836e+02  -8.356897e+02   0.000000e+00   0.000000e+00   0.000000e+00   2.734281e+04   3.695263e-01   3.394778e-01   1.535459e-01
 POSE    566   1.321690e+02   6.427127e+00   2.657826e+03   5.859402e+02  -8.331164e+02   0.000000e+00   0.000000e+00   0.000000e+00   2.753978e+03   5.957062e-01   3.394778e-01   2.393878e-01
 POSE    567   1.220837e+02   6.427127e+00   4.320572e+04   6.057686e+02  -8.322030e+02   0.000000e+00   0.000000e+00   0.000000e+00   4.331253e+04   7.734185e-01   3.394778e-01   2.351041e-01
 POSE    568   1.212888e+02   6.427127e+00   1.312308e+04   5.987422e+02  -8.322417e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.322202e+04   6.882217e-01   3.394778e-01   1.864088e-01
 POSE    569   1.227334e+02   6.427127e+00   4.412257e+04   6.483053e+02  -8.351696e+02   0.000000e+00   0.000000e+00   0.000000e+00   4.426960e+04   5.855466e-01   3.394778e-01   3.223899e-01
 POSE    570   1.357598e+02   6.427127e+00   6.209532e+04   5.585206e+02  -8.331377e+02   0.000000e+00   0.000000e+00   0.000000e+00   6.216762e+04   4.971652e-01   3.394778e-01   2.792220e-01
 POSE    571   1.186820e+02   6.427127e+00   4.517279e+04   5.331759e+02  -8.324159e+02   0.000000e+00   0.000000e+00   0.000000e+00   4.520339e+04   6.653850e-01   3.394778e-01   2.682261e-01
 POSE    572   1.305680e+02   6.427127e+00   5.840078e+04   5.600677e+02  -8.339737e+02   0.000000e+00   0.000000e+00   0.000000e+00   5.846860e+04   6.777138e-01   3.394778e-01   3.076064e-01
 POSE    573   1.198104e+02   6.427127e+00   9.839034e+02   4.035375e+02  -8.379239e+02   0.000000e+00   0.000000e+00   0.000000e+00   8.804864e+02   7.074118e-01   3.394778e-01   9.843821e-02
 POSE    574   1.221537e+02   6.427127e+00   3.922003e+04   5.742386e+02  -8.349827e+02   0.000000e+00   0.000000e+00   0.000000e+00   3.929260e+04   5.943961e-01   3.394778e-01   3.048867e-01
 POSE    575   1.218258e+02   6.427127e+00   2.052827e+03   6.132587e+02  -8.308705e+02   0.000000e+00   0.000000e+00   0.000000e+00   2.168200e+03   5.640515e-01   3.394778e-01   2.073196e-01
 POSE    576   1.356348e+02   6.427127e+00   7.811778e+04   5.668025e+02  -8.323898e+02   0.000000e+00   0.000000e+00   0.000000e+00   7.819898e+04   6.697682e-01   3.394778e-01   3.051823e-01
 POSE    577   1.212466e+02   6.427127e+00   3.405172e+03   5.684750e+02  -8.310465e+02   0.000000e+00   0.000000e+00   0.000000e+00   3.475006e+03   6.171109e-01   3.394778e-01   1.751994e-01
 POSE    578   1.319663e+02   6.427127e+00   4.212476e+04   6.285834e+02  -8.350045e+02   0.000000e+00   0.000000e+00   0.000000e+00   4.226146e+04   4.787451e-01   3.394778e-01   3.936040e-01
 POSE    579   1.371834e+02   6.427127e+00   1.343958e+05   7.534662e+02  -8.332904e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.346643e+05   5.866522e-01   3.394778e-01   3.693775e-01
 POSE    580   1.198467e+02   6.427127e+00   1.721708e+03   5.200567e+02  -8.321915e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.740579e+03   6.715897e-01   3.394778e-01   2.388875e-01
 POSE    581   1.174485e+02   6.427127e+00   5.477763e+02   5.655839e+02  -8.321214e+02   0.000000e+00   0.000000e+00   0.000000e+00   6.098463e+02   4.243988e-01   3.394778e-01   1.525574e-01
 POSE    582   1.312867e+02   6.427127e+00   4.757526e+04   6.613991e+02  -8.317830e+02   0.000000e+00   0.000000e+00   0.000000e+00   4.774733e+04   6.421395e-01   3.394778e-01   3.237860e-01
 POSE    583   1.382264e+02   6.427127e+00   1.601327e+05   5.350811e+02  -8.340745e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.601830e+05   5.102065e-01   3.394778e-01   2.927508e-01
 POSE    584   1.305337e+02   6.427127e+00   2.477310e+05   6.122737e+02  -8.328004e+02   0.000000e+00   0.000000e+00   0.000000e+00   2.478522e+05   6.860335e-01   3.394778e-01   3.248086e-01
 POSE    585   1.226178e+02   6.427127e+00   2.288219e+03   5.799228e+02  -8.327271e+02   0.000000e+00   0.000000e+00   0.000000e+00   2.369191e+03   6.336461e-01   3.394778e-01   2.327829e-01
 POSE    586   1.169615e+02   6.427127e+00   6.708116e+03   5.286691e+02  -8.304570e+02   0.000000e+00   0.000000e+00   0.000000e+00   6.734448e+03   6.117409e-01   3.394778e-01   2.298727e-01
 POSE    587   1.354482e+02   6.427127e+00   1.951640e+03   6.335811e+02  -8.335334e+02   0.000000e+00   0.000000e+00   0.000000e+00   2.098295e+03   5.877782e-01   3.394778e-01   2.821949e-01
 POSE    588   1.141213e+02   6.427127e+00   2.520730e+03   5.354595e+02  -8.324478e+02   0.000000e+00   0.000000e+00   0.000000e+00   2.549022e+03   6.774498e-01   3.394778e-01   1.485108e-01
 POSE    589   1.423033e+02   6.427127e+00   4.952385e+03   5.031875e+02  -8.298265e+02   0.000000e+00   0.000000e+00   0.000000e+00   4.979208e+03   5.731853e-01   3.394778e-01   1.793718e-01
 POSE    590   1.262206e+02   6.427127e+00   6.144945e+03   5.919043e+02  -8.310771e+02   0.000000e+00   0.000000e+00   0.000000e+00   6.243152e+03   6.073648e-01   3.394778e-01   3.527230e-01
 POSE    591   1.302169e+02   6.427127e+00   3.927465e+02   5.230971e+02  -8.323726e+02   0.000000e+00   0.000000e+00   0.000000e+00   4.248470e+02   6.158584e-01   3.394778e-01   1.437952e-01
 POSE    592   1.322369e+02   6.427127e+00   3.907098e+04   5.915237e+02  -8.320169e+02   0.000000e+00   0.000000e+00   0.000000e+00   3.917388e+04   6.210636e-01   3.394778e-01   2.847514e-01
 POSE    593   1.263803e+02   6.427127e+00   6.332184e+04   6.028206e+02  -8.309701e+02   0.000000e+00   0.000000e+00   0.000000e+00   6.343123e+04   6.270130e-01   3.394778e-01   3.863116e-01
 POSE    594   1.227966e+02   6.427127e+00   3.632291e+04   5.510356e+02  -8.362416e+02   0.000000e+00   0.000000e+00   0.000000e+00   3.637166e+04   6.294747e-01   3.394778e-01   2.734292e-01
 POSE    595   1.288035e+02   6.427127e+00   1.721020e+05   6.199376e+02  -8.335051e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.722284e+05   7.694440e-01   3.394778e-01   2.534865e-01
 POSE    596   1.140194e+02   6.427127e+00   4.379480e+04   6.189418e+02  -8.376468e+02   0.000000e+00   0.000000e+00   0.000000e+00   4.390128e+04   7.410368e-01   3.394778e-01   2.519654e-01
 POSE    597   1.226716e+02   6.427127e+00   1.985233e+04   5.565852e+02  -8.283107e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.991444e+04   5.280430e-01   3.394778e-01   2.460967e-01
 POSE    598   1.356328e+02   6.427127e+00   6.345438e+02   5.400072e+02  -8.300678e+02   0.000000e+00   0.000000e+00   0.000000e+00   6.912750e+02   5.422346e-01   3.394778e-01   2.131312e-01
 POSE    599   1.234584e+02   6.427127e+00   4.999480e+04   4.534989e+02  -8.317948e+02   0.000000e+00   0.000000e+00   0.000000e+00   4.995113e+04   2.809698e-01   3.394778e-01   3.353255e-01
 POSE    600   1.407625e+02   6.427127e+00   1.811410e+04   3.487528e+02  -8.340969e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.798068e+04   6.735066e-01   3.394778e-01   2.718019e-01
 POSE    601   1.381190e+02   6.427127e+00   7.158122e+04   5.867775e+02  -8.313368e+02   0.000000e+00   0.000000e+00   0.000000e+00   7.168594e+04   5.432337e-01   3.394778e-01   4.047634e-01
 POSE    602   1.389448e+02   6.427127e+00   1.169193e+04   6.743423e+02  -8.341613e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.188222e+04   6.441466e-01   3.394778e-01   2.039148e-01
 POSE    603   1.311664e+02   6.427127e+00   2.126973e+03   5.089573e+02  -8.288074e+02   0.000000e+00   0.000000e+00   0.000000e+00   2.149448e+03   4.701633e-01   3.394778e-01   2.568244e-01
 POSE    604   1.376186e+02   6.427127e+00   1.271511e+05   6.812955e+02  -8.326274e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.273485e+05   7.648414e-01   3.394778e-01   1.820238e-01
 POSE    605   1.248519e+02   6.427127e+00   2.876646e+05   5.770510e+02  -8.278861e+02   0.000000e+00   0.000000e+00   0.000000e+00   2.877498e+05   6.824445e-01   3.394778e-01   2.720291e-01
 POSE    606   1.307187e+02   6.427127e+00   2.917813e+03   4.214628e+02  -8.314484e+02   0.000000e+00   0.000000e+00   0.000000e+00   2.849705e+03   7.396377e-01   3.394778e-01   1.967916e-01
 POSE    607   1.289108e+02   6.427127e+00   8.783183e+04   5.273862e+02  -8.290353e+02   0.000000e+00   0.000000e+00   0.000000e+00   8.787025e+04   6.928002e-01   3.394778e-01   2.515772e-01
 POSE    608   1.232601e+02   6.427127e+00   9.253832e+04   4.907332e+02  -8.304198e+02   0.000000e+00   0.000000e+00   0.000000e+00   9.253306e+04   6.833662e-01   3.394778e-01   4.726947e-01
 POSE    609   1.165521e+02   6.427127e+00   9.915468e+04   6.513272e+02  -8.365547e+02   0.000000e+00   0.000000e+00   0.000000e+00   9.929716e+04   5.701356e-01   3.394778e-01   4.457833e-01
 POSE    610   1.267630e+02   6.427127e+00   9.866391e+02   6.421115e+02  -8.356032e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.131069e+03   4.989895e-01   3.394778e-01   1.516853e-01
 POSE    611   1.263487e+02   6.427127e+00   2.414911e+04   4.953669e+02  -8.298114e+02   0.000000e+00   0.000000e+00   0.000000e+00   2.415218e+04   6.030266e-01   3.394778e-01   2.748370e-01
 POSE    612   1.357790e+02   6.427127e+00   6.838678e+03   5.890375e+02  -8.295644e+02   0.000000e+00   0.000000e+00   0.000000e+00   6.945089e+03   5.535973e-01   3.394778e-01   1.816171e-01
 POSE    613   1.232061e+02   6.427127e+00   1.523139e+04   5.883425e+02  -8.352499e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.531885e+04   6.400787e-01   3.394778e-01   3.149015e-01
 POSE    614   1.253489e+02   6.427127e+00   1.344105e+05   6.007957e+02  -8.307089e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.345171e+05   6.519364e-01   3.394778e-01   2.933278e-01
 POSE    615   1.394899e+02   6.427127e+00   2.632032e+02   5.845485e+02  -8.285581e+02   0.000000e+00   0.000000e+00   0.000000e+00   3.698425e+02   5.284982e-01   3.394778e-01   1.088583e-01
 POSE    616   1.436531e+02   6.427127e+00   1.530033e+04   6.235048e+02  -8.333391e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.544531e+04   6.483597e-01   3.394778e-01   2.909892e-01
 POSE    617   1.224088e+02   6.427127e+00   1.262978e+05   3.170076e+02  -8.320333e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.261164e+05   7.251982e-01   3.394778e-01   2.037087e-01
 POSE    618   1.152805e+02   6.427127e+00   5.356190e+02   5.194801e+02  -8.297273e+02   0.000000e+00   0.000000e+00   0.000000e+00   5.518113e+02   7.472016e-01   3.394778e-01   7.412506e-02
 POSE    619   1.195966e+02   6.427127e+00   6.291872e+04   5.482897e+02  -8.308699e+02   0.000000e+00   0.000000e+00   0.000000e+00   6.296690e+04   6.292610e-01   3.394778e-01   3.910580e-01
 POSE    620   1.375141e+02   6.427127e+00   3.989619e+02   6.009635e+02  -8.326279e+02   0.000000e+00   0.000000e+00   0.000000e+00   5.159707e+02   6.548877e-01   3.394778e-01   1.857924e-01
 POSE    621   1.426933e+02   6.427127e+00   8.947792e+04   4.917828e+02  -8.335309e+02   0.000000e+00   0.000000e+00   0.000000e+00   8.949003e+04   3.808424e-01   3.394778e-01   3.276593e-01
 POSE    622   1.354996e+02   6.427127e+00   2.320728e+04   5.582330e+02  -8.316552e+02   0.000000e+00   0.000000e+00   0.000000e+00   2.328052e+04   4.023589e-01   3.394778e-01   3.427289e-01
 POSE    623   1.177163e+02   6.427127e+00   3.171045e+04   5.704033e+02  -8.298949e+02   0.000000e+00   0.000000e+00   0.000000e+00   3.177984e+04   3.056760e-01   3.394778e-01   1.296383e-01
 POSE    624   1.270552e+02   6.427127e+00   5.578327e+04   5.140075e+02  -8.337377e+02   0.000000e+00   0.000000e+00   0.000000e+00   5.580176e+04   6.772712e-01   3.394778e-01   3.473370e-01
 POSE    625   1.139529e+02   6.427127e+00   1.741120e+04   4.230655e+02  -8.362752e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.732310e+04   5.887498e-01   3.394778e-01   2.370856e-01
 POSE    626   1.213311e+02   6.427127e+00   6.102252e+03   5.988158e+02  -8.358784e+02   0.000000e+00   0.000000e+00   0.000000e+00   6.197680e+03   5.934808e-01   3.394778e-01   1.564154e-01
 POSE    627   1.191449e+02   6.427127e+00   1.734293e+04   5.501950e+02  -8.320737e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.739135e+04   6.614989e-01   3.394778e-01   1.979804e-01
 POSE    628   1.348741e+02   6.427127e+00   4.156398e+03   4.293118e+02  -8.274682e+02   0.000000e+00   0.000000e+00   0.000000e+00   4.104275e+03   6.886569e-01   3.394778e-01   2.155782e-01
 POSE    629   1.167704e+02   6.427127e+00   1.831851e+03   3.811027e+02  -8.362127e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.704671e+03   6.752307e-01   3.394778e-01   1.735141e-01
 POSE    630   1.306182e+02   6.427127e+00   3.528364e+02   4.947146e+02  -8.354285e+02   0.000000e+00   0.000000e+00   0.000000e+00   3.538998e+02   5.696948e-01   3.394778e-01   1.212116e-01
 POSE    631   1.326461e+02   6.427127e+00   2.298287e+03   5.021810e+02  -8.333001e+02   0.000000e+00   0.000000e+00   0.000000e+00   2.310973e+03   3.491611e-01   3.394778e-01   1.444726e-01
 POSE    632   1.211759e+02   6.427127e+00   5.767856e+03   4.379157e+02  -8.325031e+02   0.000000e+00   0.000000e+00   0.000000e+00   5.705603e+03   6.787430e-01   3.394778e-01   2.982775e-01
 POSE    633   1.328055e+02   6.427127e+00   6.183677e+04   5.326506e+02  -8.352062e+02   0.000000e+00   0.000000e+00   0.000000e+00   6.187817e+04   5.872452e-01   3.394778e-01   2.490324e-01
 POSE    634   1.239776e+02   6.427127e+00   1.157996e+04   4.343105e+02  -8.320501e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.151736e+04   7.228113e-01   3.394778e-01   2.428669e-01
 POSE    635   1.375515e+02   6.427127e+00   6.118914e+03   5.290044e+02  -8.308638e+02   0.000000e+00   0.000000e+00   0.000000e+00   6.165765e+03   4.589520e-01   3.394778e-01   1.717226e-01
 POSE    636   1.335292e+02   6.427127e+00   3.942185e+04   5.874879e+02  -8.319254e+02   0.000000e+00   0.000000e+00   0.000000e+00   3.952210e+04   6.962606e-01   3.394778e-01   3.410986e-01
 POSE    637   1.289066e+02   6.427127e+00   3.696052e+03   5.932613e+02  -8.354695e+02   0.000000e+00   0.000000e+00   0.000000e+00   3.793910e+03   7.074885e-01   3.394778e-01   2.567927e-01
 POSE    638   1.183085e+02   6.427127e+00   3.411189e+03   4.849627e+02  -8.371351e+02   0.000000e+00   0.000000e+00   0.000000e+00   3.388484e+03   5.933427e-01   3.394778e-01   2.383899e-01
 POSE    639   1.211044e+02   6.427127e+00  -9.965275e+01   4.840446e+02  -8.345416e+02   0.000000e+00   0.000000e+00   0.000000e+00  -1.178864e+02   7.234329e-01   3.394778e-01   5.922255e-02
 POSE    640   1.235942e+02   6.427127e+00   5.030680e+04   5.724577e+02  -8.291371e+02   0.000000e+00   0.000000e+00   0.000000e+00   5.038488e+04   3.966006e-01   3.394778e-01   2.417426e-01
 POSE    641   1.304128e+02   6.427127e+00   8.992592e+04   6.101022e+02  -8.342934e+02   0.000000e+00   0.000000e+00   0.000000e+00   9.004330e+04   6.128350e-01   3.394778e-01   2.232747e-01
 POSE    642   1.168606e+02   6.427127e+00   1.769597e+04   6.198742e+02  -8.332681e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.781059e+04   6.771689e-01   3.394778e-01   2.750462e-01
 POSE    643   1.355410e+02   6.427127e+00   1.358842e+05   6.858743e+02  -8.334726e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.360833e+05   7.353560e-01   3.394778e-01   3.248846e-01
 POSE    644   1.193857e+02   6.427127e+00   4.599165e+03   5.408155e+02  -8.333341e+02   0.000000e+00   0.000000e+00   0.000000e+00   4.637191e+03   6.903586e-01   3.394778e-01   1.350133e-01
 POSE    645   1.325443e+02   6.427127e+00   6.919623e+03   4.377167e+02  -8.319257e+02   0.000000e+00   0.000000e+00   0.000000e+00   6.869118e+03   6.388721e-01   3.394778e-01   2.244751e-01
 POSE    646   1.208497e+02   6.427127e+00   1.583640e+05   5.308954e+02  -8.366585e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.583902e+05   2.602782e-01   3.394778e-01   4.245775e-01
 POSE    647   1.302464e+02   6.427127e+00   5.114431e+03   6.064923e+02  -8.331104e+02   0.000000e+00   0.000000e+00   0.000000e+00   5.229219e+03   6.431736e-01   3.394778e-01   2.389484e-01
 POSE    648   1.277880e+02   6.427127e+00   2.034481e+04   5.869052e+02  -8.349200e+02   0.000000e+00   0.000000e+00   0.000000e+00   2.043574e+04   4.482732e-01   3.394778e-01   2.532419e-01
 POSE    649   1.441146e+02   6.427127e+00   1.607064e+05   5.165910e+02  -8.298969e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.607484e+05   3.621909e-01   3.394778e-01   2.705510e-01
 POSE    650   1.252723e+02   6.427127e+00   2.260223e+04   5.499487e+02  -8.333589e+02   0.000000e+00   0.000000e+00   0.000000e+00   2.265525e+04   5.823146e-01   3.394778e-01   3.074982e-01
 POSE    651   1.265602e+02   6.427127e+00   7.233505e+03   4.792269e+02  -8.351298e+02   0.000000e+00   0.000000e+00   0.000000e+00   7.215321e+03   5.666875e-01   3.394778e-01   1.528342e-01
 POSE    652   1.185809e+02   6.427127e+00   9.350755e+03   4.763745e+02  -8.323500e+02   0.000000e+00   0.000000e+00   0.000000e+00   9.324519e+03   7.377267e-01   3.394778e-01   7.523314e-02
 POSE    653   1.281490e+02   6.427127e+00   1.992473e+04   4.506430e+02  -8.313523e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.988333e+04   5.979418e-01   3.394778e-01   2.834480e-01
 POSE    654   1.212760e+02   6.427127e+00   1.545666e+04   6.869596e+02  -8.323347e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.564372e+04   7.154197e-01   3.394778e-01   2.897715e-01
 POSE    655   1.322146e+02   6.427127e+00   1.419985e+03   5.398666e+02  -8.336838e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.469542e+03   6.524306e-01   3.394778e-01   1.661605e-01
 POSE    656   1.261627e+02   6.427127e+00   3.895533e+04   4.174736e+02  -8.352644e+02   0.000000e+00   0.000000e+00   0.000000e+00   3.887486e+04   5.780597e-01   3.394778e-01   3.209777e-01
 POSE    657   1.282624e+02   6.427127e+00   5.677192e+04   6.595182e+02  -8.319814e+02   0.000000e+00   0.000000e+00   0.000000e+00   5.693888e+04   7.605033e-01   3.394778e-01   3.799409e-01
 POSE    658   1.344518e+02   6.427127e+00   1.450015e+01   4.185407e+02  -8.333557e+02   0.000000e+00   0.000000e+00   0.000000e+00  -5.470405e+01   7.473736e-01   3.394778e-01   5.729136e-02
 POSE    659   1.249404e+02   6.427127e+00   2.221150e+03   6.078330e+02  -8.323912e+02   0.000000e+00   0.000000e+00   0.000000e+00   2.332691e+03   5.929107e-01   3.394778e-01   8.962996e-02
 POSE    660   1.314541e+02   6.427127e+00   3.476047e+04   6.258312e+02  -8.306655e+02   0.000000e+00   0.000000e+00   0.000000e+00   3.489825e+04   5.940734e-01   3.394778e-01   1.911666e-01
 POSE    661   1.185989e+02   6.427127e+00   2.668479e+04   5.344556e+02  -8.327314e+02   0.000000e+00   0.000000e+00   0.000000e+00   2.671627e+04   5.535150e-01   3.394778e-01   3.309410e-01
 POSE    662   1.227618e+02   6.427127e+00   5.761375e+03   5.343846e+02  -8.303481e+02   0.000000e+00   0.000000e+00   0.000000e+00   5.799332e+03   3.337256e-01   3.394778e-01   2.359575e-01
 POSE    663   1.358580e+02   6.427127e+00   1.239559e+04   5.199566e+02  -8.301496e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.243242e+04   7.045197e-01   3.394778e-01   2.919506e-01
 POSE    664   1.274541e+02   6.427127e+00   4.072941e+04   5.724613e+02  -8.350056e+02   0.000000e+00   0.000000e+00   0.000000e+00   4.080548e+04   6.335348e-01   3.394778e-01   2.434921e-01
 POSE    665   1.191445e+02   6.427127e+00   1.992831e+05   5.716595e+02  -8.373099e+02   0.000000e+00   0.000000e+00   0.000000e+00   1.993477e+05   4.722774e-01   3.394778e-01   3.549042e-01
